City_ID,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Ostrovnoy,RU,68.0531,39.5131,6.8,97,95,12.41,overcast clouds
217,Hudson Bay,CA,52.85,-102.3842,13.84,89,70,3.09,broken clouds
218,Soyo,AO,-6.1349,12.3689,79.27,86,100,9.15,overcast clouds
219,Meulaboh,ID,4.1363,96.1285,75.07,89,85,4.16,overcast clouds
220,Kachug,RU,53.9606,105.8817,-14.53,95,100,4.03,overcast clouds
221,Mbandaka,CD,0.0487,18.2603,77.16,70,100,6.46,overcast clouds
222,Aras,ES,42.5617,-2.356,42.76,87,20,3.44,few clouds
223,Tabou,CI,4.423,-7.3528,80.73,79,65,10.13,broken clouds
224,Dudinka,RU,69.4058,86.1778,-32.39,97,100,4.92,overcast clouds
225,Abu Dhabi,AE,24.4667,54.3667,68.11,66,40,10.36,scattered clouds
226,Longyearbyen,SJ,78.2186,15.6401,24.64,86,75,6.91,broken clouds
227,Poronaysk,RU,49.2167,143.1167,4.93,96,100,1.48,overcast clouds
228,Fortuna,US,40.5982,-124.1573,57.54,78,40,36.82,scattered clouds
229,Lebedyn,UA,50.5852,34.4849,18.72,63,96,12.57,overcast clouds
230,Manokwari,ID,-0.8667,134.0833,78.51,80,100,1.92,overcast clouds
231,Mersing,MY,2.4312,103.8405,73.31,94,20,4.61,light rain
232,Buchanan,LR,5.8808,-10.0467,79.95,82,2,8.28,clear sky
233,Klaksvik,FO,62.2266,-6.589,38.32,77,100,16.58,overcast clouds
234,Akdepe,TM,42.0551,59.3788,6.89,43,0,8.23,clear sky
235,Chuy,UY,-33.6971,-53.4616,82.0,60,90,14.14,overcast clouds
236,Dustlik,UZ,40.5247,68.0358,-0.33,96,74,1.21,broken clouds
237,Andilamena,MG,-17.0167,48.5833,67.51,95,96,4.36,light rain
238,Ereymentau,KZ,51.6199,73.1033,-10.66,98,99,13.18,overcast clouds
239,Palmer,US,42.1584,-72.3287,35.65,54,75,3.44,broken clouds
240,Urubicha,BO,-15.3833,-62.95,86.16,62,94,2.21,overcast clouds
241,Talaja,IN,21.35,72.05,69.51,46,0,5.32,clear sky
242,Vagur,FO,61.4732,-6.8119,42.22,76,100,13.62,overcast clouds
243,Luorong,CN,24.4058,109.6086,58.73,93,100,0.92,overcast clouds
244,Bogota,CO,4.6097,-74.0817,60.31,72,75,5.75,broken clouds
245,Evensk,RU,61.95,159.2333,10.71,92,100,6.04,overcast clouds
246,Leningradskiy,RU,69.3833,178.4167,-22.67,97,30,4.27,scattered clouds
247,Esperance,AU,-33.8667,121.9,64.04,86,0,9.19,clear sky
248,Isangel,VU,-19.55,169.2667,69.91,100,20,0.0,few clouds
249,Mokhsogollokh,RU,61.4681,128.9203,-22.23,96,100,3.36,overcast clouds
250,Namatanai,PG,-3.6667,152.4333,78.57,82,100,3.76,light rain
251,Krasnobrodskiy,RU,54.1581,86.4486,-18.06,94,100,6.46,overcast clouds
252,Banyo,CM,6.75,11.8167,71.13,25,100,4.59,overcast clouds
253,Berlevag,NO,70.8578,29.0864,24.8,79,0,11.5,clear sky
254,Geraldton,AU,-28.7667,114.6,61.21,82,0,10.36,clear sky
255,Mount Isa,AU,-20.7333,139.5,74.97,100,80,4.61,broken clouds
256,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,88,89,13.87,overcast clouds
257,Mogadishu,SO,2.0371,45.3438,77.7,83,41,21.25,scattered clouds
258,Hasaki,JP,35.7333,140.8333,30.6,52,2,6.4,clear sky
259,Esfarayen,IR,37.0765,57.5101,15.46,52,0,3.96,clear sky
260,Danville,US,36.586,-79.395,53.02,54,0,3.44,clear sky
261,Rumoi,JP,43.9344,141.6428,30.6,87,100,7.23,overcast clouds
262,Kilindoni,TZ,-7.9139,39.6668,81.64,77,96,14.25,overcast clouds
263,Harper,LR,4.375,-7.7169,80.74,78,28,10.29,scattered clouds
264,Kismayo,SO,-0.3582,42.5454,78.06,84,23,14.67,few clouds
265,Mazagao,BR,-0.115,-51.2894,91.45,55,66,6.76,broken clouds
266,Ponta Delgada,PT,37.7333,-25.6667,61.52,88,40,9.22,scattered clouds
