City_ID,City,Country,Date,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed
129,Mandalgovi,MN,2022-12-07 17:08:08,45.7625,106.2708,8.92,52,0,5.7
130,Ler,SS,2022-12-07 17:12:05,8.3018,30.1418,83.98,29,15,4.34
131,Alibunar,RS,2022-12-07 17:12:06,45.0808,20.9658,42.8,92,100,5.68
132,Muros,ES,2022-12-07 17:12:06,42.7762,-9.0603,58.14,81,94,6.13
133,Esperance,AU,2022-12-07 17:11:08,-33.8667,121.9,58.91,71,26,19.64
134,Alofi,NU,2022-12-07 17:11:52,-19.0595,-169.9187,79.77,79,100,11.14
135,San Carlos,VE,2022-12-07 17:12:07,9.6612,-68.5827,90.0,33,56,2.33
136,Yarmolyntsi,UA,2022-12-07 17:12:07,49.1924,26.8373,29.16,97,61,5.1
137,Bandarbeyla,SO,2022-12-07 17:12:08,9.4942,50.8122,78.22,75,36,14.54
138,Saint-Augustin,CA,2022-12-07 17:13:08,51.226,-58.6502,30.99,86,100,7.31
139,Sungairaya,ID,2022-12-07 17:13:09,0.7,108.9,79.2,81,100,3.0
140,Naantali,FI,2022-12-07 17:13:09,60.4674,22.0243,29.07,93,0,5.75
141,Leningradskiy,RU,2022-12-07 17:13:10,69.3833,178.4167,-4.9,99,56,5.7
142,Dogondoutchi,NE,2022-12-07 17:13:10,13.6393,4.0287,86.58,14,0,9.62
143,Anadyr,RU,2022-12-07 17:13:11,64.75,177.4833,1.9,71,0,6.71
144,Margate,GB,2022-12-07 17:13:12,51.3813,1.3862,38.88,87,75,5.99
145,Stonewall,CA,2022-12-07 17:13:12,50.1344,-97.3268,-14.3,86,12,6.35
146,Dukat,RU,2022-12-07 17:13:13,62.55,155.55,-12.41,90,100,0.85
147,Svetlaya,RU,2022-12-07 17:13:13,46.5389,138.3297,13.33,72,27,5.64
148,Kapaa,US,2022-12-07 17:13:14,22.0752,-159.319,79.12,79,40,18.41
149,East London,ZA,2022-12-07 17:12:16,-33.0153,27.9116,73.6,87,0,14.65
150,Tilichiki,RU,2022-12-07 17:13:14,60.4667,166.1,1.98,97,71,6.17
151,Chama,CH,2022-12-07 17:13:15,47.1821,8.4636,39.38,93,100,0.0
152,Talnakh,RU,2022-12-07 17:13:15,69.4865,88.3972,5.81,97,100,7.94
153,Guerrero,MX,2022-12-07 17:13:16,17.6667,-100.0,77.31,46,5,3.74
154,Sistranda,NO,2022-12-07 17:13:16,63.7256,8.834,37.36,68,100,19.55
155,Terrace,CA,2022-12-07 17:13:17,54.5163,-128.6035,31.48,97,100,0.92
156,Poitiers,FR,2022-12-07 17:12:29,46.5833,0.3333,39.61,70,100,9.22
157,San Cristobal,VE,2022-12-07 17:10:10,7.7669,-72.225,73.58,49,23,3.42
158,Muisne,EC,2022-12-07 17:13:17,0.6,-80.0333,77.47,75,98,11.97
159,Aransas Pass,US,2022-12-07 17:13:18,27.9095,-97.15,80.6,86,40,11.5
160,Polovinnoye,RU,2022-12-07 17:13:18,54.7914,65.9864,-1.93,94,14,6.82
161,Hobyo,SO,2022-12-07 17:13:19,5.3505,48.5268,79.95,78,98,17.0
162,Severo-Kurilsk,RU,2022-12-07 17:13:19,50.6789,156.125,29.73,88,99,9.91
163,Kendari,ID,2022-12-07 17:13:20,-3.945,122.4989,75.7,85,22,1.34
164,Mahenge,TZ,2022-12-07 17:13:20,-8.6833,36.7167,72.97,46,9,1.7
165,Castro,BR,2022-12-07 17:13:21,-24.7911,-50.0119,81.1,53,27,7.9
166,Tuktoyaktuk,CA,2022-12-07 17:13:21,69.4541,-133.0374,-16.91,93,46,12.08
167,Santiago De Chuco,PE,2022-12-07 17:13:22,-8.15,-78.1833,64.47,39,40,4.14
168,Bethlehem,BR,2022-12-07 17:12:57,-1.4558,-48.5044,89.64,58,75,4.61
169,Asau,RO,2022-12-07 17:13:23,46.4333,26.4,36.52,86,100,4.38
170,Ginda,IN,2022-12-07 17:13:23,30.6945,78.4932,47.55,20,0,6.87
171,Port Hedland,AU,2022-12-07 17:13:23,-20.3167,118.5667,80.65,61,1,14.97
172,Inhambane,MZ,2022-12-07 17:13:24,-23.865,35.3833,78.55,81,36,10.13
173,Victoria Point,AU,2022-12-07 17:13:25,-27.5833,153.3,74.91,92,91,1.01
174,Conroe,US,2022-12-07 17:12:06,30.3119,-95.456,80.71,81,75,6.91
175,Gimli,CA,2022-12-07 17:13:25,50.6336,-96.9907,-11.72,91,13,9.24
176,Ostrovnoy,RU,2022-12-07 17:13:26,68.0531,39.5131,23.16,91,54,15.64
177,Tucuma,BR,2022-12-07 17:13:26,-0.1833,-50.05,85.08,65,84,9.01
178,Baruun-Urt,MN,2022-12-07 17:13:27,46.6806,113.2792,1.56,90,7,7.76
179,Roma,US,2022-12-07 17:13:27,43.2128,-75.4557,53.96,98,100,0.0
180,Tasiilaq,GL,2022-12-07 17:13:28,65.6145,-37.6368,26.76,84,54,5.82
181,Cam Ranh,VN,2022-12-07 17:13:29,11.9214,109.1591,71.56,100,75,10.36
182,Vakhrushev,RU,2022-12-07 17:13:29,48.9833,142.9667,13.89,67,28,7.54
183,Khorixas,NA,2022-12-07 17:13:30,-20.3667,14.9667,80.92,12,0,17.72
184,Bengkulu,ID,2022-12-07 17:14:30,-3.8004,102.2655,75.81,91,100,7.2
185,Hambantota,LK,2022-12-07 17:14:15,6.1241,81.1185,77.09,79,100,5.7
186,Ancud,CL,2022-12-07 17:14:31,-41.8697,-73.8203,57.79,97,100,22.77
187,Clyde River,CA,2022-12-07 17:14:31,70.4692,-68.5914,0.27,74,81,7.0
188,Tura,IN,2022-12-07 17:14:32,25.5198,90.2201,61.92,89,15,3.76
189,Salalah,OM,2022-12-07 17:14:32,17.0151,54.0924,78.89,65,75,3.44
190,Zoutleeuw,BE,2022-12-07 17:13:16,50.8332,5.1038,41.61,93,75,8.05
191,Bambous Virieux,MU,2022-12-07 17:14:33,-20.3428,57.7575,77.25,83,75,12.66
192,Yenagoa,NG,2022-12-07 17:14:33,4.9247,6.2642,81.25,76,100,8.39
193,Viedma,AR,2022-12-07 17:14:05,-40.8135,-62.9967,94.48,13,97,14.74
194,Goundam,ML,2022-12-07 17:14:34,16.4145,-3.6708,93.79,11,1,7.85
195,Nalut,LY,2022-12-07 17:14:34,30.3333,10.85,65.95,24,100,9.22
196,Grindavik,IS,2022-12-07 17:14:34,63.8424,-22.4338,30.67,86,20,6.91
197,Taitung,TW,2022-12-07 17:14:35,22.7583,121.1444,70.25,80,5,8.86
198,Saint-Joseph,RE,2022-12-07 17:14:35,-21.3667,55.6167,77.38,81,23,13.11
199,Anito,PH,2022-12-07 17:14:35,12.4497,125.2886,77.9,87,98,8.21
200,General Roca,AR,2022-12-07 17:14:36,-39.0333,-67.5833,91.0,12,82,18.59
201,Samarai,PG,2022-12-07 17:14:36,-10.6167,150.6667,81.73,78,100,4.21
202,Waingapu,ID,2022-12-07 17:14:36,-9.6567,120.2641,79.03,79,100,2.57
203,Barreirinha,BR,2022-12-07 17:14:37,-2.7933,-57.07,90.16,48,65,1.9
204,Balkhash,KZ,2022-12-07 17:14:37,46.844,74.9804,5.56,86,98,9.66
205,Port Augusta,AU,2022-12-07 17:14:38,-32.5,137.7667,55.71,57,35,15.68
206,Tahe,CN,2022-12-07 17:14:38,52.3333,124.7333,-8.93,93,37,4.34
207,Aklavik,CA,2022-12-07 17:14:39,68.2191,-135.0107,-11.43,84,100,11.45
208,Isangel,VU,2022-12-07 17:14:39,-19.55,169.2667,78.35,82,69,1.12
209,Bellavista,PE,2022-12-07 17:14:39,-7.0561,-76.5911,87.28,66,20,3.44
210,Marsh Harbour,BS,2022-12-07 17:14:40,26.5412,-77.0636,74.53,61,0,16.67
211,Vila Velha,BR,2022-12-07 17:14:40,-20.3297,-40.2925,76.95,93,100,9.22
212,San Andres,CO,2022-12-07 17:14:26,12.5847,-81.7006,82.42,74,40,14.97
213,Garowe,SO,2022-12-07 17:14:40,8.4054,48.4845,76.87,58,99,20.4
214,Wattegama,LK,2022-12-07 17:14:41,6.7989,81.4808,72.46,79,100,2.21
215,Airai,TL,2022-12-07 17:14:41,-8.9266,125.4092,59.22,75,88,1.61
216,Meulaboh,ID,2022-12-07 17:14:41,4.1363,96.1285,76.91,86,100,5.37
217,Altay,CN,2022-12-07 17:14:42,47.8667,88.1167,3.27,84,92,5.23
218,Zyryanka,RU,2022-12-07 17:14:42,65.75,150.85,-39.84,89,9,9.24
219,Cachoeira Do Sul,BR,2022-12-07 17:14:42,-30.0392,-52.8939,90.63,31,0,5.5
220,Tiarei,PF,2022-12-07 17:14:43,-17.5333,-149.3333,80.62,78,40,18.75
221,Gazanjyk,TM,2022-12-07 17:14:43,39.2446,55.5154,32.07,49,39,13.82
222,Wuwei,CN,2022-12-07 17:14:43,37.9281,102.6414,24.22,59,95,3.27
223,Khash,IR,2022-12-07 17:14:44,28.2211,61.2158,53.92,46,24,1.88
224,Sitka,US,2022-12-07 17:14:44,57.0531,-135.33,44.49,70,100,20.71
225,Gondanglegi,ID,2022-12-07 17:14:45,-7.7479,112.0132,75.94,90,100,2.86
226,Zhanaozen,KZ,2022-12-07 17:14:45,43.3,52.8,21.47,55,1,14.2
227,Dongsheng,CN,2022-12-07 17:14:45,39.8161,109.9776,20.26,38,54,6.33
228,Matara,LK,2022-12-07 17:14:46,5.9485,80.5353,77.76,77,100,12.3
229,Ailigandi,PA,2022-12-07 17:14:46,9.2333,-78.0167,82.67,69,65,13.89
230,Itoman,JP,2022-12-07 17:15:46,26.1247,127.6694,66.22,68,75,14.97
231,Caiaponia,BR,2022-12-07 17:15:47,-16.9567,-51.8103,84.72,50,85,7.36
232,Aksu,CN,2022-12-07 17:15:47,41.1231,80.2644,26.8,41,64,1.45
233,Provideniya,RU,2022-12-07 17:15:47,64.3833,-173.3,20.97,80,96,15.66
234,Maniitsoq,GL,2022-12-07 17:15:48,65.4167,-52.9,31.26,98,100,19.77
235,Kaitangata,NZ,2022-12-07 17:15:48,-46.2817,169.8464,47.28,87,99,8.28
236,Naliya,IN,2022-12-07 17:15:49,23.2667,68.8333,72.14,19,0,8.21
237,Antofagasta,CL,2022-12-07 17:14:55,-23.65,-70.4,69.08,64,52,8.55
238,Vestmannaeyjar,IS,2022-12-07 17:15:49,63.4427,-20.2734,32.99,93,20,6.91
239,Salina,US,2022-12-07 17:10:28,38.8403,-97.6114,44.31,65,0,0.0
240,Stuttgart,DE,2022-12-07 17:11:04,48.7823,9.177,39.65,87,75,9.22
241,Hamilton,US,2022-12-07 17:15:47,39.1834,-84.5333,53.08,96,100,8.05
242,Borzya,RU,2022-12-07 17:15:50,50.3833,116.5167,-2.42,97,26,6.49
